OBJECTID,FOLIOID,BLDGNO,LASTMODIFIED,WHOMODIFIED,BuildingKey,BuildingNo,ImpCode,ImpCodeDesc,model,ModelDesc,LocationNo,LocationStreet,ApprDate,Appraiser,stories,bedrooms,bathrooms,ExtWall1,ExtWall2,RoofStruct,RoofCover,IntWall1,IntWall2,Floor1,Floor2,HeatType,HeatFuel,ACType,PctCond,Quality,BaseArea,ActualArea,EffectiveArea,ActualYearBuilt,EffectiveYearBuilt,FunctionalObs,EconomicObs,SpecialCondCode,SOH,StructuralIndex,DepreciationFactor,BaseRate,AdjBaseRate,NbhdRate,ReplacementCost,DepreciatedValue,OverrideValue,notes,createdDate,createdUser,ApprNum,ApprName,BathIndex,NbhdFactor,BuilderModel,DRApprDate,DRAppraiser,DRPhotoDate,SHAPE_Length,SHAPE_Area
1,10161707,1,11/25/2013 15:47,hoskissonb,80785,1,44,Hotel/Motel - Low Quality,3,Multiples/Motels,2571,FIRST ST,6/25/2013 0:00,82,2,5,32,17,0,4,4,5,0,14,0,3,4,9,0,3,0,14809,11212,1960,1985,0,0,  ,N,0.95,0.6,67.5599976,64.18,64.18,719586,431752,0,*SEA CHEST MOTEL*  31 RENTAL UNITS APT=OWNERS RESIDENCE ON RIVER SEA CHEST MOTEL  99-95 UPDATE KM RETRAV BLDG 2003-98 UPDATE KN REINFOR CONC/WT CA/WAC PT OF BAS/FUS DEC FST + BLK TOP CHLK 6 FNC-B BLK PVM *06 UPDATE AS 2-OCCP OUT OF 31 UNITS*OBSOLENCE REVIEW 5/2008.......MGT *09 UPDATE AS N/C*2013'SALE-BUSINESS APPEARS CLOSED-30 ROOMS + LARGE APARTMENT DESKTP RVW 7/31/2017 HEAPHYJ,7/31/2017 9:04,heaphyj,82,Pete Mayher,0,1,0,7/31/2017,88 John Heaphy,1/31/2017,635.4006056,6238.3583
2,10161752,1,3/26/2018 7:15,habermehls,80797,1,74,Health/Clubhouse,7,Apt/Hotel/Clubs,0,UNKNOWN,7/9/2008 0:00,102,1,0,0,17,0,12,7,5,0,11,0,4,4,3,0,5,0,19669,18755,2007,2007,0,0,  ,N,1.37,0.79,115.5999985,158.37,95.02,1782100,1407859,0,*RIVIERA CONDOS*  *08 BPMT AS ADD BAS+FOP* DESKTP RVW 5/17/2013 MAYHERP DESKTP RVW 3/26/2018 HABERMEHLS,1/1/2019 20:03,GillilandR,102,Albert Serio,0,0.6,0,3/26/2018,105 Susanne Habermehl,1/5/2018,556.0905222,19662.57246
3,10161752,2,3/26/2018 7:16,habermehls,80798,2,118,Parking Garage,6,Warehouse/Industrial,0,UNKNOWN,7/9/2008 0:00,102,2,0,0,17,0,12,11,7,0,3,0,1,1,1,0,3,0,26926,26926,2007,2007,0,0,  ,N,1.15,0.79,49.8699989,57.35,57.35,1544206,1219923,,*08 BPMT AS ADD BAS+SPKLR* DESKTP RVW 5/17/2013 MAYHERP,1/1/2019 20:03,GillilandR,102,Albert Serio,1,1,0,3/26/2018,105 Susanne Habermehl,1/5/2018,493.9615293,13559.93178
4,10161752,3,3/26/2018 7:16,habermehls,80799,3,118,Parking Garage,6,Warehouse/Industrial,0,UNKNOWN,7/9/2008 0:00,102,3,0,0,17,0,12,11,7,0,3,0,1,1,1,0,3,0,40294,40294,2007,2007,0,0,  ,N,1.15,0.79,49.8699989,57.35,57.35,2310861,1825580,,*08 BPMT AS ADD BAS+SPKLR* DESKTP RVW 5/17/2013 MAYHERP,1/1/2019 20:03,GillilandR,102,Albert Serio,1,1,0,3/26/2018,105 Susanne Habermehl,1/5/2018,493.9618,13559.9297
5,10161763,1,11/9/2015 8:26,hoskissonb,80808,1,49,Offices - Low Rise,5,OFFICE/MEDICAL,2772,FIRST ST,8/7/2006 0:00,102,2,0,0,17,0,4,4,8,0,14,0,4,4,4,0,3,0,4156,4031,1910,1975,0,0,  ,N,1.21,0.6,109.3499985,132.31,66.16,266691,160015,0,*AMERICAN EAGLE*  91 REVIEW CORRECT SE & XF 99-91 UPDATE KM N/C  2000 SALE REVW BB N/C  05/16/2000 RJ & MGU FIELD CHECK N/C 2003-00 UPDATE KN RMS 14/15 DEL PVMT C *06 UPDATE AS CAN/UOP*obsolence review 5/2008.......mgt DESKTP RVW 8/18/2011 MAYHERP DESKTP RVW 11/9/2015 HABERMEHLS,1/1/2017 14:54,GillilandR,102,Albert Serio,0,0.5,0,11/9/2015,105 Susanne Habermehl,1/8/2015,266.0001078,4156.001134
6,10161764,1,2/12/2013 11:41,veral,80809,1,49,Offices - Low Rise,5,OFFICE/MEDICAL,2756,FIRST ST,6/21/2018 10:40,82,1,0,0,15,0,4,3,5,0,9,0,4,4,3,0,2,0,2174,1717,1951,1986,0,0,  ,N,1.12,0.6,109.3499985,122.47,61.24,105149,63089,0,"RECEPTION AREA W/5 SEPERATE OFFICES DSKTP RVW 5/18/2018 PUSHPIN
2018'SALE-BLDG OCCUPIED-MARCY SHAW LAW OFFICE",2/8/2019 10:08,fwmayher,82,Pete Mayher,0,0.5,0,5/18/2018,821 Pushpin,1/5/2018,268.0000157,2174.001751
7,10161811,1,12/12/2016 7:39,habermehls,80862,1,14,Quadraplex,3,Multiples/Motels,2770,PROVIDENCE ST,11/23/2011 11:00,88,1,8,4,17,0,14,3,5,0,10,14,4,4,3,0,2,0,2696,2501,1969,1984,0,0,  ,N,0.79,0.66,86.9400024,68.68,103.02,257653,170051,0,87BPMT RETRAV KCW 93REVW N/C HH  98 CEW BED 5/8 REMO EYB 69/80*ADD FOP*  **99 SALE KM N/C** *02UPDATE CLT N/C* DESKTP RVW 12/12/2016 HABERMEHLS,1/1/2019 20:03,GillilandR,88,John Heaphy,0,1.5,0,12/12/2016,105 Susanne Habermehl,1/13/2016,318.0000926,2695.997151
8,10161855,1,3/13/2017 13:46,habermehls,80888,1,54,Adult Living/Nursing Home,5,OFFICE/MEDICAL,2580,FIRST ST,1/19/2012 0:00,82,1,9,0,17,0,4,3,5,0,14,0,4,4,3,0,2,0,5645,3784,1959,1978,0,0,  ,N,0.97,0.6,119.9700012,116.37,58.19,220191,132115,0,2011'SALE-BLDG VACANT--PREVIOUSE USE WAS ALF-REVISIT FOR CURRENT USE*2012' RV-CURRENT USE ALF DESKTP RVW 3/13/2017 HABERMEHLS,3/13/2017 13:46,HabermehlS,82,Pete Mayher,0,0.5,0,3/13/2017,105 Susanne Habermehl,1/13/2016,354.0000026,5645.000878
9,10161859,1,3/13/2017 13:49,habermehls,80893,1,44,Hotel/Motel - Low Quality,3,Multiples/Motels,2568,FIRST ST,5/14/2012 10:09,82,2,3,25,17,0,4,4,5,0,14,0,3,4,2,0,3,0,11076,8319,1955,1981,0,0,  ,N,0.93,0.6,67.5599976,62.83,62.83,522683,313610,0,*RELAX INN  MOTEL* (25 TOTAL UNITS PER DESK CLERK) OFF RIVER  RCS92SL 40019  99 REVIEW KM SPLIT FUS OUT OF BAS FCP STP  APT FEP DEC FOP 2000 REVIEW BB NEW OWNER LIVES IN APT 2002 SALE REVIEW PM BR 5/3 PVMT C/PATIO C UCP FEP/AOF FNC AL4 PUMP HS DEC POOL *06 UPDATE AS 3-OCCP OUT OF 25 UNITS PER OWNER*OBSOLENCE REVIEW 5/2008.......MGT *09 UPDATE AS N/C*2012'SALE-BUSINESS CLOSED-BLDG VACANT-PROPERTY BEING MAINTAINED-CAN ONLY COUNT 23 UNITS* 8/2012' LEASE-UP INPROGRESS DESKTP RVW 3/13/2017 HABERMEHLS,3/13/2017 13:50,HabermehlS,82,Pete Mayher,0,1,0,3/13/2017,105 Susanne Habermehl,1/13/2016,562.0001348,5476.003823
10,10161860,1,11/9/2015 8:27,hoskissonb,80894,1,49,Offices - Low Rise,5,OFFICE/MEDICAL,2440,THOMPSON ST,11/17/2006 0:00,102,1,0,0,19,17,9,4,5,0,7,14,4,4,4,0,3,0,18981,18667,1956,2004,0,0,  ,N,1.14,0.76,109.3499985,124.66,74.8,1396292,1061182,0,RCS91CG29382 HUMAN RESOUCES*RCS93 WW 13250  98 BPMT KM   REPLACE CHLK 2002-98 UPDATE PM MANUFACTURED OFFICE HAS TAG DELETE EX F LINE 2 &  3 ADDITIONS PM *2006 BPMT PM ASB/VINL CAN/CANOPY ADD FOP SPKLR DEC BAS DEL UOP & BDRM EYB 1956/2004=TOTAL RENOVATIONS* *07 BPMT AS N/C* DESKTP RVW 8/18/2011 MAYHERP DESKTP RVW 11/9/2015 HABERMEHLS,1/1/2019 20:03,GillilandR,102,Albert Serio,0,0.6,0,11/9/2015,105 Susanne Habermehl,1/8/2015,606.0001703,18981.00811
11,10161861,1,3/13/2017 13:52,habermehls,80895,1,50,Offices - High Rise,5,OFFICE/MEDICAL,2480,THOMPSON ST,7/22/2010 12:00,82,4,0,0,28,0,13,4,5,0,7,14,4,4,5,0,5,0,56268,53393,1993,1995,0,0,  ,N,1.79,0.67,136.5,244.34,244.34,13046046,8740851,0,"LEE COUNTY CONSTITUTIONAL COMPLEX**   RCS93WW 13250 RCS91CG29382 *04-99 UPDT PM PT BAS/LBG INC BAS & FCP DEC FST LBG DEL LBA EYB 1992/95=2ND FL REMODEL ** BAS/FUS PER FIELD INSPECTION  AFK 08/12/05. *2005 BPMT PM CA/CHILL BAS/FUS(3)* *07 REVIEW PM ADD FUS TO FLRS 2, 3 & 4* *2007 QC REVIEW FJ REDRAW BLDG.- CORR. SUBAREAS, STR.ELEMENTS & XFS. ACTUAL YEAR BUILT: 1992/1993* DESKTP RVW 7/31/2008 MAYHERP*2010'BPMT PM N/C
TEST NOTES DESKTP RVW 7/17/2012 JENTEF DESKTP RVW 3/13/2017 HABERMEHLS",1/1/2019 20:03,GillilandR,82,Pete Mayher,0,1,0,3/13/2017,105 Susanne Habermehl,1/13/2016,1228.844289,29460.90082
12,10161863,1,3/19/2018 12:20,habermehls,80896,1,84,Warehouse - CB/Brick,6,Warehouse/Industrial,1943,FOWLER ST,1/30/2019 15:19,82,1,0,1,17,0,4,3,1,4,2,0,0,0,2,0,3,0,2926,2926,1953,1980,0,0,  ,N,1.02,0.6,53.6899986,54.76,41.07,120171,72103,0,BUILT AS CHURCH-MULTIPLE USES SINCE*2019' SALE-VACANT,2/1/2019 15:59,fwmayher,82,Pete Mayher,2,0.75,0,3/19/2018,105 Susanne Habermehl,1/5/2018,233.9999506,2925.999495
13,10161863,2,3/19/2018 12:20,habermehls,80897,2,49,Offices - Low Rise,5,OFFICE/MEDICAL,,1943 FOWLER ST,1/30/2019 15:20,82,1,0,0,15,0,4,4,4,0,7,0,0,0,2,0,1,0,2403,2195,1953,1980,0,0,  ,N,0.68,0.6,109.3499985,74.36,44.62,97941,58765,0,BUILT AS CHURCH-LAST USE WAS PRINTING SHOP*2019' SALE-VACANT,2/1/2019 15:59,fwmayher,82,Pete Mayher,0,0.6,0,3/19/2018,105 Susanne Habermehl,1/5/2018,231.9999194,2403.000509
14,10161866,1,7/22/2015 16:56,hoskissonb,80898,1,23,Apartment Building,7,Apt/Hotel/Clubs,2525,E FIRST ST,1/30/2018 10:18,82,20,151,222,22,0,13,4,5,0,14,0,4,4,5,0,3,0,226249,223902,1980,1987,0,0,  ,N,1.0599999,0.722,103.1900024,109.38,109.38,24490401,17682070,0,"CALUSA HARBOUR INDEPENDENT LIVING FACILITY* FLR 1=ADMIN+DINING FLR 2= HEALTH CENTER FLR 3-20APTS CALUSA CENTER*  (93 1BR-1BA,29 2BR-1BA & 100 STUDIO UNITS) ",1/1/2019 20:03,GillilandR,82,Pete Mayher,0,1,0,5/19/2015,105 Susanne Habermehl,1/8/2015,579.9380518,13850.83108
15,10161866,2,7/22/2015 16:57,hoskissonb,80899,2,23,Apartment Building,7,Apt/Hotel/Clubs,2525,E FIRST STREET,1/30/2018 10:18,82,4,65,147,17,0,13,4,5,0,14,0,4,4,4,0,3,0,107566,102510,1987,1991,0,0,  ,N,0.91,0.73,103.1900024,93.9,93.9,9625689,7026753,0,"CALUSA HARBOUR ALF -147 UNITS THIS BLDG*  (55 1BR-1BA,5 2BR-1BA & 87 STUDIO UNITS.) LICENSED FOR 175 BEDS. ",1/1/2019 20:03,GillilandR,82,Pete Mayher,0,1,0,5/19/2015,105 Susanne Habermehl,1/8/2015,1075.91057,28350.61636
16,10161866,3,7/22/2015 16:57,hoskissonb,80900,3,54,Adult Living/Nursing Home,5,OFFICE/MEDICAL,,,1/30/2018 10:18,82,2,0,0,17,0,13,4,5,0,14,0,4,4,4,0,3,0,29304,28368,1987,1990,0,0,  ,N,1.03,0.62,119.9700012,123.57,123.57,3505434,2173369,0,CALUSA HARBOUR SNF-SKILLED NURSING FACILITY* CALUSA HARBOUR HEALTH CENTER (24-HR NURSING CARE ON SECOND FLOOR) LICENSED FOR 100 BEDS.,1/1/2019 20:03,GillilandR,82,Pete Mayher,0,1,0,5/19/2015,105 Susanne Habermehl,1/8/2015,584.0000334,14652.00933
17,10161866,4,7/22/2015 16:58,hoskissonb,80901,4,72,Laundry/Laundromat,4,commercial,2525,FIRST ST,1/30/2018 10:18,82,1,0,0,17,0,4,4,1,0,7,0,4,4,4,0,3,0,1276,1184,1994,1994,0,0,  ,N,0.77,0.6,130.6499939,100.6,100.6,119110,71466,,CALUSA HARBOUR LAUNDRY BLDG.  ,1/1/2019 20:03,GillilandR,82,Pete Mayher,0,1,0,5/19/2015,105 Susanne Habermehl,1/8/2015,152.0000444,1276.000364
18,10161873,1,4/24/2012 14:38,mayherp,80904,1,35,Stores - Retail,4,commercial,1611,FOWLER ST,2/16/2016 12:08,88,1,2,0,8,0,4,1,5,0,12,0,4,4,4,0,3,0,1920,1462,1901,1976,0,0,  ,Y,0.96,0.6,100.6500015,96.62,86.96,127136,76282,0,BELLE FILLIE GIFT & DECOR *2012'RV-IMP TYPES APPEAR CORRECT-STORE VACANT-2015'SALE-100% OCCP,4/2/2018 14:12,GillilandR,88,John Heaphy,0,0.9,0,4/24/2012,82 Pete Mayher,1/13/2012,209.9994311,1919.997945
19,10161874,1,7/22/2015 16:58,hoskissonb,80907,1,36,Stores - Discount,4,commercial,1651,FOWLER ST,7/31/2009 10:38,102,1,0,0,15,0,10,4,5,1,7,0,4,4,3,0,3,0,23756,21018,1965,1982,0,0,  ,N,0.74,0.6,73.0899963,54.09,54.09,1136864,682118,0,*BILL SMITH APPLIANCES*,4/2/2018 14:12,GillilandR,102,Albert Serio,0,1,0,7/1/2014,105 Susanne Habermehl,2/14/2014,581.9861195,18739.6141
20,10161875,1,9/30/2014 8:41,hoskissonb,80908,1,22,Multiple Residence,3,Multiples/Motels,1515,HOUGH ST,9/29/2014 9:43,82,2,30,21,17,0,4,12,5,0,14,0,4,4,3,0,3,0,19480,17022,1973,1981,0,0,  ,N,1,0.63,79.6100006,79.61,79.61,1355121,853726,0,*OAKTREE APTS*  ( 20 TOTAL UNITS) 9-BR1BA 10-2BR1BA 1-3BR2BA  RCG98SL FR .005B PER CW**DREW STRUCTURE PER FIELD DRAWING 9-23-98 CJK**  98  REVIEW PB TRAVERSE BLDG ADD PSE + FUS+PATIO C+SCEN A+ UTY UNF(2) HIP/WT  SPLIT FUS OUT OF BAS 99 REVIEW BB BR 2/42 BA 1/21 RMS 20/92 2002 SALE REVIEW PM BLK TOP/PVM *06 UPDATE AS  PS1/PTO DEL POOL C ALL 20 UNITS ARE OCCP PER MGR**07 ROLL EYB/1973/1980 LEMOBSOLENCE REVIEW 5/2008.......MGT*08ROLL CHG EYB TO AYB NO PERMITS TO INDICATE UPGRADE FOR AGE LEM *09 UPDATE AS N/C* DESKTP RVW 7/1/2014 HABERMEHLS,2/8/2019 10:59,HabermehlS,82,Pete Mayher,0,1,0,7/1/2014,105 Susanne Habermehl,2/14/2014,459.9702561,10623.7389
21,10161883,1,4/23/2013 10:38,kingc,80916,1,49,Offices - Low Rise,5,OFFICE/MEDICAL,,2519 SECOND ST,12/10/2018 8:21,82,1,0,0,17,0,4,2,5,0,7,0,4,4,3,0,2,0,1376,1376,1966,1981,0,0,  ,N,1.0599999,0.6,109.3499985,115.91,57.96,79753,47852,0,SOUTH BLDG,12/10/2018 14:52,fwmayher,82,Pete Mayher,0,0.5,0,,0 Unknown or uninspected,,204.0001157,1376.003571
22,10161883,2,4/23/2013 10:39,kingc,80917,2,49,Offices - Low Rise,5,OFFICE/MEDICAL,2517,SECOND ST,12/10/2018 8:21,82,1,0,0,17,0,1,2,5,0,7,0,3,4,2,0.025,2,0,1376,1376,1966,1981,0,0,AP,N,1.01,0.575,109.3499985,110.44,55.22,75983,43690,0,NORTH BLDG 2-12/2018' BLDG USED FOR STORAGE-A/C MISSING,12/10/2018 14:52,fwmayher,82,Pete Mayher,0,0.5,0,,0 Unknown or uninspected,,204.0000139,1375.999153
